member,start,end,duration
382,0:36:20.144,0:36:38.229,0:00:18.084
383,0:36:26.617,0:36:27.251,0:00:00.633
384,0:36:27.585,0:36:33.691,0:00:06.106
385,0:36:38.696,0:36:46.504,0:00:07.807
386,0:36:44.202,0:36:45.670,0:00:01.468
387,0:36:47.071,0:37:07.258,0:00:20.186
388,0:36:47.738,0:37:11.862,0:00:24.124
389,0:37:24.942,0:37:32.917,0:00:07.974
390,0:37:33.484,0:37:34.051,0:00:00.567
397,0:38:43.120,0:39:07.178,0:00:24.057
399,0:38:43.187,0:38:43.587,0:00:00.400
400,0:38:43.821,0:38:47.758,0:00:03.937
402,0:38:58.169,0:38:58.803,0:00:00.633
403,0:38:59.136,0:39:04.642,0:00:05.505
410,0:40:09.640,0:40:10.374,0:00:00.734
411,0:40:10.474,0:40:10.941,0:00:00.467
412,0:40:11.175,0:40:16.147,0:00:04.971
413,0:41:22.246,0:41:23.013,0:00:00.767
414,0:41:23.414,0:41:30.788,0:00:07.374
415,0:41:45.302,0:41:45.903,0:00:00.600
416,0:41:45.302,0:41:50.341,0:00:05.038
417,0:41:46.203,0:41:52.109,0:00:05.905
422,0:41:50.574,0:41:50.875,0:00:00.300
423,0:41:59.817,0:41:59.950,0:00:00.133
424,0:42:16.934,0:42:24.041,0:00:07.107
425,0:42:18.702,0:42:19.036,0:00:00.333
426,0:42:19.270,0:42:22.573,0:00:03.303
428,0:42:24.909,0:42:25.376,0:00:00.467
433,0:42:47.431,0:43:14.224,0:00:26.793
434,0:42:53.037,0:43:01.345,0:00:08.308
435,0:43:01.579,0:43:02.613,0:00:01.034
436,0:43:03.180,0:43:11.522,0:00:08.341
438,0:43:16.860,0:43:19.229,0:00:02.369
439,0:43:21.465,0:43:39.850,0:00:18.385
440,0:43:26.804,0:43:49.827,0:00:23.023
441,0:43:38.515,0:43:43.487,0:00:04.971
442,0:43:40.951,0:43:42.686,0:00:01.735
443,0:43:43.687,0:43:43.988,0:00:00.300
444,0:43:50.961,0:43:53.697,0:00:02.736
447,0:44:03.240,0:44:03.907,0:00:00.667
448,0:44:04.308,0:44:10.781,0:00:06.473
449,0:44:24.695,0:44:27.698,0:00:03.003
450,0:44:28.732,0:44:58.262,0:00:29.529
451,0:44:58.162,0:44:58.328,0:00:00.166
454,0:44:58.595,0:45:01.198,0:00:02.602
457,0:45:03.500,0:47:38.722,0:02:35.221
458,0:45:18.315,0:45:37.234,0:00:18.918
459,0:45:19.883,0:45:42.840,0:00:22.956
460,0:45:30.761,0:45:30.794,0:00:00.033
461,0:45:38.302,0:45:39.970,0:00:01.668
462,0:45:43.774,0:45:45.676,0:00:01.901
463,0:46:22.146,0:46:22.646,0:00:00.500
464,0:46:22.946,0:46:28.418,0:00:05.472
465,0:46:52.643,0:46:57.614,0:00:04.971
466,0:46:57.881,0:46:58.215,0:00:00.333
467,0:47:02.920,0:47:21.638,0:00:18.718
468,0:47:03.353,0:47:22.072,0:00:18.718
469,0:47:15.766,0:47:18.135,0:00:02.369
471,0:47:18.569,0:47:31.615,0:00:13.046
472,0:47:22.506,0:47:24.308,0:00:01.801
473,0:47:23.874,0:47:25.943,0:00:02.068
474,0:47:42.426,0:47:42.759,0:00:00.333
475,0:47:43.327,0:47:48.498,0:00:05.171
476,0:47:45.495,0:47:54.771,0:00:09.275
477,0:47:49.933,0:48:06.917,0:00:16.983
478,0:47:51.101,0:47:55.439,0:00:04.337
480,0:47:57.307,0:47:58.842,0:00:01.534
482,0:48:23.267,0:48:41.652,0:00:18.385
483,0:48:24.134,0:48:28.305,0:00:04.170
484,0:48:24.001,0:48:33.110,0:00:09.109
485,0:48:24.968,0:48:43.520,0:00:18.551
486,0:48:26.069,0:48:44.788,0:00:18.718
488,0:48:25.869,0:48:32.376,0:00:06.506
489,0:48:27.104,0:48:45.122,0:00:18.018
490,0:48:27.104,0:48:27.104,0:00:00.000
491,0:48:27.337,0:48:46.256,0:00:18.918
492,0:48:28.739,0:48:47.658,0:00:18.918
494,0:48:33.143,0:48:42.419,0:00:09.275
495,0:48:33.143,0:48:41.285,0:00:08.141
497,0:48:42.486,0:48:44.321,0:00:01.835
499,0:48:43.787,0:48:45.355,0:00:01.568
500,0:48:44.288,0:48:45.555,0:00:01.267
501,0:48:44.354,0:48:45.822,0:00:01.468
502,0:48:45.722,0:48:47.391,0:00:01.668
503,0:48:46.890,0:48:48.558,0:00:01.668
504,0:48:47.357,0:48:49.126,0:00:01.768
507,0:48:48.558,0:48:50.494,0:00:01.935
509,0:49:07.044,0:49:11.148,0:00:04.104
511,0:49:45.449,0:49:50.053,0:00:04.604
512,0:49:50.287,0:49:50.687,0:00:00.400
513,0:51:00.724,0:51:14.638,0:00:13.913
514,0:51:15.305,0:51:16.840,0:00:01.534
515,0:51:25.415,0:51:25.882,0:00:00.467
516,0:51:26.183,0:51:30.754,0:00:04.571
520,0:51:49.840,0:52:09.292,0:00:19.452
521,0:52:38.388,0:52:43.727,0:00:05.338
522,0:52:42.592,0:53:30.207,0:00:47.614
523,0:52:44.027,0:52:44.561,0:00:00.533
